"MovieID","CustomerID","Rate"
5054,1197338,5
2218,1414981,5
2443,2628834,2
15409,740628,5
14830,2096735,4
16272,404726,4
6974,1981559,5
12102,2276483,5
11323,55339,3
12161,1844911,5
10042,1384935,5
6122,2421410,1
2643,2178822,4
6450,2224746,5
4577,1445906,5
13840,2584676,4
5837,1326355,5
11182,1466045,1
12470,2104911,3
11356,1907043,4
13728,2163805,5
2122,2610566,4
15296,2612013,5
6760,1640067,2
6844,59255,3
1810,735514,4
10275,1629169,5
3648,1247574,3
17215,605206,4
5201,1902017,2
3917,1712098,4
6206,1113606,1
8809,721996,5
6971,1285643,5
12612,1987821,5
8846,1115451,1
4590,1623454,4
6099,1752856,3
872,1213571,5
4972,40618,1
15137,1577677,5
11139,1942832,4
6287,1359647,4
3624,1611511,5
1578,1939632,3
14103,1405132,5
17417,57843,1
17355,1862022,4
13102,2620326,2
13031,154089,5
16150,1116356,4
7057,2162415,5
8585,1724183,4
7971,912577,3
15496,2521955,5
3098,17860,4
10143,70456,4
13481,1114857,3
7193,472012,5
5695,682561,3
1905,1487833,3
9051,795448,1
16406,1640731,4
5153,1226650,3
3962,738067,5
15156,836150,3
9355,2568756,3
15853,1464381,3
468,2392045,4
11781,821939,4
5472,357535,5
13082,595160,5
468,1134251,4
15209,2395053,4
5939,741724,2
15507,2329196,4
11265,793412,5
10418,1151192,5
12785,286063,5
6266,880348,3
6449,536485,2
1110,2634364,5
7331,1617024,3
16421,287940,4
6960,258393,4
8326,1558286,3
8339,949493,3
8379,1784164,3
7767,2431289,4
12221,2639606,3
12149,2626507,2
5628,2422017,5
9170,1373069,3
2370,1598953,3
14928,696811,3
14016,254788,4
12799,1590697,4
15276,1809541,3
7238,2177629,3
15496,1606745,4
2566,2610008,5
9208,399543,3
6552,772581,3
16406,2049064,4
2015,903219,5
17764,1216717,3
12834,2401006,5
7173,2180090,4
3478,277837,2
10486,2467982,4
4306,2040491,4
2743,377334,3
4149,1617915,3
313,59657,4
11702,2183547,5
11356,1014412,3
8548,2549238,2
17578,1228834,3
7757,1239115,4
7617,2101301,3
16792,222844,5
7624,943523,5
14660,665372,4
1542,873841,5
7516,2308335,5
14601,1551848,5
6475,1082857,3
13728,1155376,5
11378,2026403,5
8016,405362,3
8915,1843209,5
11812,1449412,4
9768,754713,3
8376,1484319,4
14541,1730100,1
16538,1070272,2
14979,1109700,4
4697,1575680,4
312,923109,4
12232,126016,4
