MovieID,CustomerID,Rate,Date
12160,447010,3,2004-06-16
5309,885927,5,2004-12-26
7745,59601,4,2005-09-29
6134,537083,4,2005-11-12
12014,1175969,4,2005-08-24
11587,145916,2,2003-11-13
11812,1124470,5,2005-07-16
14039,362561,3,2005-04-06
3290,2494049,5,2004-09-13
11658,829002,1,2005-07-06
1744,1565906,4,2003-06-08
9111,185689,3,2004-08-26
4384,2016653,3,2005-02-03
7648,1114196,2,2004-02-23
8086,1614455,3,2004-05-18
6599,1885054,1,2003-09-19
10061,1833524,5,2004-12-01
10155,560631,4,2005-12-21
13419,786312,3,2004-11-06
2057,2257842,3,2005-02-12
15205,1073842,4,2005-02-05
9458,1328687,2,2005-11-14
10170,474558,1,2005-09-28
8295,1393830,1,2004-01-08
416,1244309,3,2004-06-04
14670,1689823,5,2005-09-22
4080,1981790,4,2004-05-12
11022,1479699,2,2005-04-06
13115,2643775,4,2005-03-02
11283,140082,5,2004-09-09
11907,1685548,1,2004-03-02
6134,1153916,5,2005-02-03
1918,997630,3,2004-10-09
6475,529832,3,2005-10-12
16114,1833543,1,2004-06-14
9116,574285,3,2003-02-13
11521,2519245,5,2005-08-03
17088,2238839,4,2005-12-20
11732,2582512,1,2004-09-28
15393,1231637,5,2005-07-07
4745,2188181,4,2005-10-27
7149,1010649,3,2005-03-09
10168,2083951,2,2005-10-20
12842,655111,4,2004-01-07
15568,2494075,3,2004-08-04
14966,1099321,3,2004-09-13
16113,1008295,4,2005-09-06
3859,2600313,4,2004-09-23
6552,1147320,3,2005-04-26
7234,699133,5,2004-12-17
6037,162089,4,2005-11-11
8782,2293280,2,2004-09-01
1094,803330,3,2003-08-19
17560,442013,5,2005-05-15
3368,2548746,3,2005-02-24
15821,2199355,3,2005-05-24
3371,481158,5,2005-04-01
12599,480567,5,2005-01-10
16997,654516,3,2004-09-10
3782,1316775,3,2004-04-28
2372,995457,3,2005-05-08
12582,220259,3,2004-07-11
32,2347210,5,2005-09-07
13524,261083,3,2005-03-15
10155,1611512,2,2005-05-16
960,2102169,4,2004-05-12
14856,2581394,3,2005-08-09
3138,1345752,5,2005-07-21
